len,packet_id,flags,ttl,protocol,checksum,source_port,destination_port,test
64,30059,2,64,17,49644,57458,53,0
64,30060,2,64,17,49643,57458,53,0
64,9523,0,38,17,27685,53,57458,0
64,4170,0,38,17,33038,53,57458,0
60,54757,2,64,6,41335,39946,23000,0
48,24359,0,38,6,29250,23000,39946,0
40,54758,2,64,6,41354,39946,23000,0
121,54759,2,64,6,41272,39946,23000,0
40,11957,0,38,6,41660,23000,39946,0
321,44744,0,38,6,8592,23000,39946,0
40,54760,2,64,6,41352,39946,23000,0
40,2593,0,38,6,51024,23000,39946,0
40,54761,2,64,6,41351,39946,23000,0
40,27426,0,38,6,26191,23000,39946,0
28,32023,0,49,1,18795,8,0,0
44,11219,0,43,6,41114,44347,443,0
40,16845,0,40,6,36260,44347,80,0
40,46206,0,55,1,3064,13,0,0
40,22985,0,38,6,30632,80,44347,0
40,56959,0,38,6,62193,443,44347,0
71,30100,2,64,17,49596,46088,53,0
71,8020,0,38,17,29181,53,46088,0
44,13689,0,53,6,36084,44603,53,0
44,25379,0,50,6,25162,44603,1025,0
44,20818,0,51,6,29467,44603,143,0
44,4831,0,41,6,48014,44603,995,0
44,52222,0,59,6,61550,44603,443,0
44,20772,0,39,6,32585,44603,8080,0
44,41398,0,41,6,11447,44603,22,0
44,24469,0,45,6,27352,44603,135,0
44,46029,0,43,6,6304,44603,445,0
44,53834,0,56,6,60706,44603,5900,0
44,63143,0,38,6,56005,53,44603,0
40,0,2,64,6,30577,44603,53,0
40,15567,0,38,6,38050,8080,44603,0
40,37178,0,38,6,16439,443,44603,0
40,51861,0,38,6,1756,995,44603,0
40,40416,0,38,6,13201,143,44603,0
40,37649,0,38,6,15968,1025,44603,0
40,3932,0,38,6,49685,5900,44603,0
40,55131,0,38,6,64021,445,44603,0
40,25942,0,38,6,27675,135,44603,0
40,54323,0,38,6,64829,22,44603,0
60,44977,2,64,6,51115,39948,23000,0
48,18816,0,38,6,34793,23000,39948,0
40,44978,2,64,6,51134,39948,23000,0
121,44979,2,64,6,51052,39948,23000,0
40,12286,0,38,6,41331,23000,39948,0
321,45389,0,38,6,7947,23000,39948,0
40,44980,2,64,6,51132,39948,23000,0
40,61647,0,38,6,57505,23000,39948,0
40,44981,2,64,6,51131,39948,23000,0
40,14213,0,38,6,39404,23000,39948,0
40,22923,0,38,6,30694,53,44603,0
40,0,2,64,6,30577,44603,53,0
44,45048,0,51,6,5237,44603,3389,0
44,6826,0,37,6,47043,44603,21,0
44,59216,0,51,6,56604,44603,554,0
44,58605,0,55,6,56191,44603,113,0
44,5206,0,42,6,47383,44603,23,0
44,13115,0,37,6,40754,44603,25,0
44,29656,0,48,6,21397,44603,993,0
44,22298,0,54,6,27219,44603,3306,0
44,44365,0,44,6,7712,44603,80,0
44,59563,0,37,6,59841,44603,1723,0
44,9787,0,49,6,41010,44603,111,0
44,46591,0,49,6,4206,44603,8888,0
44,54863,0,42,6,63261,44603,199,0
44,5839,0,44,6,46238,44603,139,0
44,19825,0,37,6,34044,44603,256,0
44,47142,0,39,6,6215,44603,110,0
44,33345,0,44,6,18732,44603,1720,0
44,16340,0,51,6,33945,44603,587,0
44,10219,0,50,6,40322,44603,880,0
44,49529,0,39,6,3828,44603,20031,0
44,60990,0,46,6,56110,44603,50800,0
44,44417,0,44,6,7660,44603,1443,0
44,34174,0,53,6,15599,44603,6510,0
44,52293,0,59,6,61479,44603,2800,0
40,65142,0,38,6,54010,3389,44603,0
44,20625,0,43,6,31708,44603,10617,0
44,45003,0,52,6,5026,44603,9595,0
44,26069,0,48,6,24984,44603,1099,0
44,56387,0,55,6,58409,44603,5959,0
44,9700,0,40,6,43401,44603,545,0
44,41950,0,54,6,7567,44603,4006,0
44,23274,0,37,6,30595,44603,146,0
44,55554,0,41,6,62826,44603,3322,0
44,29505,0,49,6,21292,44603,1974,0
44,3654,0,59,6,44583,44603,15000,0
44,45125,0,50,6,5416,44603,5269,0
44,36648,0,51,6,13637,44603,52822,0
44,4683,0,58,6,43810,44603,30000,0
44,44310,0,50,6,6231,44603,13782,0
44,5708,0,45,6,46113,44603,19780,0
44,62248,0,52,6,53316,44603,3077,0
44,37142,0,56,6,11863,44603,1782,0
44,27457,0,53,6,22316,44603,5060,0
44,45675,0,47,6,5634,44603,2144,0
44,7644,0,56,6,41361,44603,65389,0
44,9733,0,42,6,42856,44603,2065,0
44,38030,0,53,6,11743,44603,6567,0
44,65333,0,42,6,52791,44603,9102,0
44,34922,0,49,6,15875,44603,55055,0
44,13908,0,49,6,36889,44603,1999,0
44,33437,0,41,6,19408,44603,52869,0
40,51,0,38,6,53566,1723,44603,0
40,26510,0,38,6,27107,80,44603,0
40,41399,0,38,6,12218,3306,44603,0
40,1539,0,38,6,52078,993,44603,0
40,27007,0,38,6,26610,25,44603,0
40,28780,0,38,6,24837,23,44603,0
40,59791,0,38,6,59361,113,44603,0
40,36522,0,38,6,17095,554,44603,0
40,1578,0,38,6,52039,21,44603,0
40,32150,0,38,6,21467,2800,44603,0
40,64182,0,38,6,54970,6510,44603,0
40,41276,0,38,6,12341,1443,44603,0
40,50255,0,38,6,3362,50800,44603,0
40,37016,0,38,6,16601,20031,44603,0
40,24988,0,38,6,28629,880,44603,0
40,51181,0,38,6,2436,587,44603,0
40,16866,0,38,6,36751,1720,44603,0
40,5431,0,38,6,48186,110,44603,0
40,2065,0,38,6,51552,256,44603,0
40,1325,0,38,6,52292,139,44603,0
40,17619,0,38,6,35998,199,44603,0
40,12693,0,38,6,40924,8888,44603,0
40,41084,0,38,6,12533,111,44603,0
40,1173,0,38,6,52444,52869,44603,0
40,21089,0,38,6,32528,1999,44603,0
40,27956,0,38,6,25661,55055,44603,0
40,53361,0,38,6,256,9102,44603,0
44,989,0,44,6,51088,44603,5904,0
40,8076,0,38,6,45541,6567,44603,0
40,42561,0,38,6,11056,2065,44603,0
40,25522,0,38,6,28095,65389,44603,0
40,27028,0,38,6,26589,2144,44603,0
40,6648,0,38,6,46969,5060,44603,0
40,1560,0,38,6,52057,1782,44603,0
40,33050,0,38,6,20567,3077,44603,0
40,58614,0,38,6,60538,19780,44603,0
40,1085,0,38,6,52532,13782,44603,0
40,10014,0,38,6,43603,30000,44603,0
40,9825,0,38,6,43792,52822,44603,0
40,57299,0,38,6,61853,5269,44603,0
40,37034,0,38,6,16583,15000,44603,0
40,56180,0,38,6,62972,1974,44603,0
40,19921,0,38,6,33696,3322,44603,0
40,28811,0,38,6,24806,146,44603,0
40,39856,0,38,6,13761,4006,44603,0
44,56071,0,42,6,62053,44603,1106,0
40,46593,0,38,6,7024,545,44603,0
40,13790,0,38,6,39827,5959,44603,0
40,17204,0,38,6,36413,1099,44603,0
40,13841,0,38,6,39776,9595,44603,0
40,7873,0,38,6,45744,10617,44603,0
44,10625,0,58,6,37868,44603,1067,0
40,14357,0,38,6,39260,5904,44603,0
40,46706,0,38,6,6911,1106,44603,0
44,9629,0,49,6,41168,44603,5414,0
44,60902,0,55,6,53894,44603,2909,0
40,62893,0,38,6,56259,1067,44603,0
44,41128,0,43,6,11205,44603,9101,0
44,21894,0,45,6,29927,44603,8031,0
44,28136,0,51,6,22149,44603,1036,0
44,25007,0,45,6,26814,44603,8400,0
40,26923,0,38,6,26694,5414,44603,0
44,44276,0,37,6,9593,44603,8701,0
44,46492,0,44,6,5585,44603,10000,0
44,6418,0,47,6,44891,44603,2033,0
44,41671,0,57,6,7078,44603,1201,0
44,13508,0,49,6,37289,44603,5000,0
44,11646,0,51,6,38639,44603,50001,0
44,37728,0,43,6,14605,44603,7000,0
44,15776,0,42,6,36813,44603,1164,0
44,17332,0,57,6,31417,44603,9998,0
44,30955,0,45,6,20866,44603,555,0
44,11788,0,50,6,38753,44603,24,0
44,60982,0,49,6,55350,44603,1022,0
44,33211,0,43,6,19122,44603,6346,0
44,53083,0,42,6,65041,44603,6543,0
44,39789,0,51,6,10496,44603,1594,0
44,7630,0,43,6,44703,44603,6502,0
40,64008,0,38,6,55144,2909,44603,0
44,48598,0,49,6,2199,44603,1434,0
44,38980,0,52,6,11049,44603,9220,0
44,20314,0,47,6,30995,44603,8292,0
44,21551,0,41,6,31294,44603,1045,0
44,48025,0,54,6,1492,44603,3017,0
44,45512,0,54,6,4005,44603,2222,0
44,33048,0,51,6,17237,44603,6001,0
44,43132,0,43,6,9201,44603,5100,0
44,40739,0,37,6,13130,44603,1271,0
44,21368,0,38,6,32245,44603,44443,0
44,55574,0,45,6,61782,44603,10012,0
44,3162,0,51,6,47123,44603,16001,0
44,54314,0,59,6,59458,44603,987,0
44,32484,0,51,6,17801,44603,163,0
44,40089,0,56,6,8916,44603,1113,0
44,17144,0,44,6,34933,44603,5033,0
44,52924,0,55,6,61872,44603,902,0
44,37820,0,38,6,15793,44603,515,0
44,29943,0,59,6,18294,44603,16992,0
44,38861,0,45,6,12960,44603,5718,0
44,35346,0,56,6,13659,44603,8001,0
44,22083,0,56,6,26922,44603,7911,0
40,796,0,38,6,52821,8400,44603,0
40,4729,0,38,6,48888,1036,44603,0
40,54477,0,38,6,64675,8031,44603,0
40,12849,0,38,6,40768,9101,44603,0
44,271,0,38,6,53342,44603,30718,0
44,54978,0,48,6,61610,44603,4998,0
44,35141,0,46,6,16424,44603,1503,0
40,58759,0,38,6,60393,1594,44603,0
40,53198,0,38,6,419,6543,44603,0
40,37907,0,38,6,15710,6346,44603,0
40,4878,0,38,6,48739,1022,44603,0
40,26760,0,38,6,26857,24,44603,0
40,3133,0,38,6,50484,555,44603,0
40,48844,0,38,6,4773,9998,44603,0
40,57284,0,38,6,61868,1164,44603,0
40,42353,0,38,6,11264,7000,44603,0
40,43902,0,38,6,9715,50001,44603,0
40,30456,0,38,6,23161,5000,44603,0
40,16756,0,38,6,36861,1201,44603,0
40,22697,0,38,6,30920,2033,44603,0
40,7526,0,38,6,46091,10000,44603,0
40,8962,0,38,6,44655,8701,44603,0
44,27780,0,53,6,21993,44603,5190,0
44,42023,0,56,6,6982,44603,749,0
40,30875,0,38,6,22742,7911,44603,0
40,41182,0,38,6,12435,8001,44603,0
40,64198,0,38,6,54954,5718,44603,0
40,26475,0,38,6,27142,16992,44603,0
40,12603,0,38,6,41014,5033,44603,0
44,26262,0,57,6,22487,44603,1092,0
44,47453,0,47,6,3856,44603,11110,0
44,31250,0,46,6,20315,44603,32780,0
40,5947,0,38,6,47670,3580,44603,0
40,45178,0,38,6,8439,1900,44603,0
40,37039,0,38,6,16578,3030,44603,0
40,40350,0,38,6,13267,50500,44603,0
40,64941,0,38,6,54211,32780,44603,0
40,20124,0,38,6,33493,11110,44603,0
40,43026,0,38,6,10591,8087,44603,0
44,48111,0,51,6,2174,44603,2196,0
40,3162,0,38,6,50455,49165,44603,0
40,23870,0,38,6,29747,27356,44603,0
40,33086,0,38,6,20531,4001,44603,0
40,4431,0,38,6,49186,1073,44603,0
40,19417,0,38,6,34200,10004,44603,0
40,64512,0,38,6,54640,6788,44603,0
40,6476,0,38,6,47141,2196,44603,0
44,55977,0,48,6,60611,44603,3998,0
44,45822,0,39,6,7535,44603,49999,0
44,9793,0,55,6,39468,44603,19,0
44,31094,0,46,6,20471,44603,1060,0
44,23492,0,47,6,27817,44603,6004,0
44,36647,0,43,6,15686,44603,1081,0
44,26945,0,37,6,26924,44603,9500,0
44,15722,0,48,6,35331,44603,9503,0
44,33674,0,59,6,14563,44603,1174,0
44,23729,0,51,6,26556,44603,32772,0
44,21222,0,47,6,30087,44603,1111,0
44,45978,0,53,6,3795,44603,8192,0
44,28660,0,52,6,21369,44603,1433,0
44,56041,0,39,6,62851,44603,1311,0
44,3677,0,59,6,44560,44603,6566,0
44,4300,0,51,6,45985,44603,50389,0
44,29040,0,43,6,23293,44603,9898,0
44,4545,0,53,6,45228,44603,4446,0
44,13437,0,44,6,38640,44603,1027,0
44,41923,0,51,6,8362,44603,7496,0
44,36260,0,49,6,14537,44603,8093,0
44,54903,0,51,6,60917,44603,2401,0
44,29100,0,49,6,21697,44603,2809,0
44,4493,0,43,6,47840,44603,1070,0
