len,packet_id,flags,ttl,protocol,checksum,source_port,destination_port,test
0.12,0.458881,1,1,1,0.758186,0.878709,0.000811,0
0.12,0.458896,1,1,1,0.75817,0.878709,0.000811,0
0.12,0.145378,0,0.587302,1,0.422683,0.000795,0.87871,0
0.12,0.063659,0,0.587302,1,0.504469,0.000795,0.87871,0
0.106667,0.835921,1,1,0.3125,0.631236,0.610892,0.351741,0
0.066667,0.371865,0,0.587302,0.3125,0.446594,0.351731,0.610898,0
0.04,0.835936,1,1,0.3125,0.631526,0.610892,0.351741,0
0.31,0.835951,1,1,0.3125,0.630273,0.610892,0.351741,0
0.04,0.182536,0,0.587302,0.3125,0.636201,0.351731,0.610898,0
0.976667,0.683062,0,0.587302,0.3125,0.130968,0.351731,0.610898,0
0.04,0.835967,1,1,0.3125,0.631495,0.610892,0.351741,0
0.04,0.039585,0,0.587302,0.3125,0.77927,0.351731,0.610898,0
0.04,0.835982,1,1,0.3125,0.63148,0.610892,0.351741,0
0.04,0.418686,0,0.587302,0.3125,0.399856,0.351731,0.610898,0
0,0.488863,0,0.761905,0,0.286856,0.000107,0,0
0.053333,0.171269,0,0.666667,0.3125,0.627859,0.678198,0.006775,0
0.04,0.257156,0,0.619048,0.3125,0.553697,0.678198,0.001223,0
0.04,0.705381,0,0.857143,0,0.046508,0.000184,0,0
0.04,0.350889,0,0.587302,0.3125,0.467709,0.001208,0.678203,0
0.04,0.869537,0,0.587302,0.3125,0.949917,0.00676,0.678203,0
0.143333,0.459507,1,1,1,0.757452,0.704824,0.000811,0
0.143333,0.122433,0,0.587302,1,0.445539,0.000795,0.704828,0
0.053333,0.208976,0,0.825397,0.3125,0.551008,0.682113,0.000811,0
0.053333,0.387436,0,0.777778,0.3125,0.384135,0.682113,0.015675,0
0.053333,0.317808,0,0.793651,0.3125,0.449909,0.682113,0.002187,0
0.053333,0.07375,0,0.634921,0.3125,0.733281,0.682113,0.015217,0
0.053333,0.797222,0,0.920635,0.3125,0.940093,0.682113,0.006775,0
0.053333,0.317106,0,0.603175,0.3125,0.497548,0.682113,0.123568,0
0.053333,0.631982,0,0.634921,0.3125,0.174589,0.682113,0.000336,0
0.053333,0.373544,0,0.698413,0.3125,0.417595,0.682113,0.002065,0
0.053333,0.702679,0,0.666667,0.3125,0.096011,0.682113,0.006805,0
0.053333,0.82183,0,0.873016,0.3125,0.927197,0.682113,0.090229,0
0.053333,0.963942,0,0.587302,0.3125,0.855373,0.000795,0.682118,0
0.04,0,1,1,0.3125,0.466868,0.682113,0.000811,0
0.04,0.237646,0,0.587302,0.3125,0.581045,0.123555,0.682118,0
0.04,0.56756,0,0.587302,0.3125,0.250859,0.00676,0.682118,0
0.04,0.791711,0,0.587302,0.3125,0.026524,0.015202,0.682118,0
0.04,0.616991,0,0.587302,0.3125,0.201387,0.002172,0.682118,0
0.04,0.57475,0,0.587302,0.3125,0.243663,0.01566,0.682118,0
0.04,0.060026,0,0.587302,0.3125,0.758812,0.090215,0.682118,0
0.04,0.84163,0,0.587302,0.3125,0.977846,0.00679,0.682118,0
0.04,0.396031,0,0.587302,0.3125,0.42253,0.002049,0.682118,0
0.04,0.829295,0,0.587302,0.3125,0.990191,0.000321,0.682118,0
0.106667,0.686619,1,1,0.3125,0.78066,0.610922,0.351741,0
0.066667,0.287245,0,0.587302,0.3125,0.531283,0.351731,0.610928,0
0.04,0.686635,1,1,0.3125,0.780951,0.610922,0.351741,0
0.31,0.68665,1,1,0.3125,0.779698,0.610922,0.351741,0
0.04,0.187558,0,0.587302,0.3125,0.631174,0.351731,0.610928,0
0.976667,0.692909,0,0.587302,0.3125,0.121114,0.351731,0.610928,0
0.04,0.686665,1,1,0.3125,0.78092,0.610922,0.351741,0
0.04,0.941104,0,0.587302,0.3125,0.878291,0.351731,0.610928,0
0.04,0.68668,1,1,0.3125,0.780905,0.610922,0.351741,0
0.04,0.216976,0,0.587302,0.3125,0.601733,0.351731,0.610928,0
0.04,0.349943,0,0.587302,0.3125,0.468656,0.000795,0.682118,0
0.04,0,1,1,0.3125,0.466868,0.682113,0.000811,0
0.053333,0.687703,0,0.793651,0.3125,0.079708,0.682113,0.051828,0
0.053333,0.104206,0,0.571429,0.3125,0.718446,0.682113,0.000321,0
0.053333,0.903992,0,0.793651,0.3125,0.864525,0.682113,0.008472,0
0.053333,0.894665,0,0.857143,0.3125,0.858215,0.682113,0.001728,0
0.053333,0.079475,0,0.650794,0.3125,0.723641,0.682113,0.000352,0
0.053333,0.200214,0,0.571429,0.3125,0.622359,0.682113,0.000382,0
0.053333,0.452729,0,0.746032,0.3125,0.326611,0.682113,0.015186,0
0.053333,0.340401,0,0.84127,0.3125,0.415563,0.682113,0.050559,0
0.053333,0.677277,0,0.68254,0.3125,0.117523,0.682113,0.001223,0
0.053333,0.909289,0,0.571429,0.3125,0.913981,0.682113,0.02635,0
0.053333,0.149408,0,0.761905,0.3125,0.62627,0.682113,0.001698,0
0.053333,0.711259,0,0.761905,0.3125,0.063956,0.682113,0.135925,0
0.053333,0.837539,0,0.650794,0.3125,0.966234,0.682113,0.003043,0
0.053333,0.089138,0,0.68254,0.3125,0.706147,0.682113,0.002126,0
0.053333,0.302649,0,0.571429,0.3125,0.519839,0.682113,0.003915,0
0.053333,0.71967,0,0.603175,0.3125,0.094651,0.682113,0.001682,0
