len,packet_id,flags,ttl,protocol,checksum,source_port,destination_port,test
64,60994,2,64,17,35083,59859,53,0
64,60995,2,64,17,35082,59859,53,0
64,46962,0,38,17,6620,53,59859,0
64,32716,0,38,17,20866,53,59859,0
60,31277,2,64,6,64815,40578,23000,0
48,2869,0,38,6,50740,23000,40578,0
40,31278,2,64,6,64834,40578,23000,0
121,31279,2,64,6,64752,40578,23000,0
40,19973,0,38,6,33644,23000,40578,0
321,27648,0,38,6,25688,23000,40578,0
40,885,0,38,6,52732,23000,40578,0
40,31280,2,64,6,64832,40578,23000,0
40,31281,2,64,6,64831,40578,23000,0
40,39713,0,38,6,13904,23000,40578,0
28,13995,0,53,1,35799,8,0,0
44,47044,0,45,6,4777,46483,443,0
40,39439,0,56,6,9570,46483,80,0
40,49206,0,59,1,64575,13,0,0
40,33536,0,38,6,20081,80,46483,0
40,30654,0,38,6,22963,443,46483,0
60,43935,2,64,6,52157,40580,23000,0
48,27726,0,38,6,25883,23000,40580,0
40,43936,2,64,6,52176,40580,23000,0
121,43937,2,64,6,52094,40580,23000,0
40,45070,0,38,6,8547,23000,40580,0
321,36167,0,38,6,17169,23000,40580,0
40,43938,2,64,6,52174,40580,23000,0
40,40620,0,38,6,12997,23000,40580,0
40,43939,2,64,6,52173,40580,23000,0
40,52723,0,38,6,894,23000,40580,0
71,65361,2,64,17,14335,56187,53,0
71,39894,0,38,17,62842,53,56187,0
44,1726,0,56,6,47279,46739,1723,0
44,63814,0,54,6,51238,46739,53,0
44,65294,0,57,6,48990,46739,8080,0
44,7958,0,50,6,42583,46739,111,0
44,53346,0,38,6,267,46739,135,0
44,4700,0,49,6,46097,46739,3306,0
44,36093,0,53,6,13680,46739,23,0
44,55503,0,50,6,60573,46739,1720,0
44,44837,0,43,6,7496,46739,25,0
44,49945,0,57,6,64339,46739,8888,0
40,32331,0,38,6,21286,1723,46739,0
44,38454,0,38,6,15159,53,46739,0
40,0,2,64,6,30577,46739,53,0
40,15691,0,38,6,37926,23,46739,0
40,526,0,38,6,53091,3306,46739,0
40,29502,0,38,6,24115,135,46739,0
40,49171,0,38,6,4446,111,46739,0
40,13972,0,38,6,39645,8080,46739,0
40,47809,0,38,6,5808,8888,46739,0
40,20905,0,38,6,32712,25,46739,0
40,35810,0,38,6,17807,1720,46739,0
60,15681,2,64,6,14876,40582,23000,0
48,54550,0,38,6,64594,23000,40582,0
40,15682,2,64,6,14895,40582,23000,0
121,15683,2,64,6,14813,40582,23000,0
40,6851,0,38,6,46766,23000,40582,0
321,54496,0,38,6,64375,23000,40582,0
40,15684,2,64,6,14893,40582,23000,0
40,32802,0,38,6,20815,23000,40582,0
40,15685,2,64,6,14892,40582,23000,0
40,27276,0,38,6,26341,23000,40582,0
40,38066,0,38,6,15551,53,46739,0
40,0,2,64,6,30577,46739,53,0
44,25070,0,42,6,27519,46739,445,0
44,20349,0,50,6,30192,46739,995,0
44,22135,0,39,6,31222,46739,21,0
44,18014,0,55,6,31247,46739,256,0
44,24081,0,55,6,25180,46739,443,0
44,5425,0,41,6,47420,46739,554,0
44,445,0,57,6,48304,46739,110,0
44,10780,0,53,6,38993,46739,113,0
44,47601,0,39,6,5756,46739,993,0
44,6846,0,42,6,45743,46739,22,0
44,21568,0,42,6,31021,46739,587,0
40,46651,0,38,6,6966,21,46739,0
40,63852,0,38,6,55300,995,46739,0
44,58653,0,58,6,55375,46739,3389,0
40,43402,0,38,6,10215,445,46739,0
44,21085,0,52,6,28944,46739,1025,0
44,6029,0,40,6,47072,46739,80,0
