len,packet_id,flags,ttl,protocol,checksum,source_port,destination_port,test
0.12,0.931547,1,1,1,0.535294,0.915428,0.000811,0
0.12,0.931563,1,1,1,0.535279,0.915428,0.000811,0
0.12,0.71724,0,0.587302,1,0.100884,0.000795,0.915429,0
0.12,0.499664,0,0.587302,1,0.31831,0.000795,0.915429,0
0.106667,0.477686,1,1,0.3125,0.989072,0.620557,0.351741,0
0.066667,0.043818,0,0.587302,0.3125,0.774256,0.351731,0.620563,0
0.04,0.477702,1,1,0.3125,0.989362,0.620557,0.351741,0
0.31,0.477717,1,1,0.3125,0.988111,0.620557,0.351741,0
0.04,0.305043,0,0.587302,0.3125,0.513332,0.351731,0.620563,0
0.976667,0.422262,0,0.587302,0.3125,0.391905,0.351731,0.620563,0
0.04,0.013516,0,0.587302,0.3125,0.804658,0.351731,0.620563,0
0.04,0.477732,1,1,0.3125,0.989332,0.620557,0.351741,0
0.04,0.477748,1,1,0.3125,0.989316,0.620557,0.351741,0
0.04,0.606528,0,0.587302,0.3125,0.212054,0.351731,0.620563,0
0,0.213742,0,0.825397,0,0.546222,0.000107,0,0
0.053333,0.718492,0,0.698413,0.3125,0.072755,0.710864,0.006775,0
0.04,0.602343,0,0.873016,0.3125,0.145907,0.710864,0.001223,0
0.04,0.751512,0,0.920635,0,0.985409,0.000184,0,0
0.04,0.512188,0,0.587302,0.3125,0.306329,0.001208,0.710869,0
0.04,0.468172,0,0.587302,0.3125,0.350315,0.00676,0.710869,0
0.106667,0.671009,1,1,0.3125,0.795882,0.620588,0.351741,0
0.066667,0.423453,0,0.587302,0.3125,0.394881,0.351731,0.620594,0
0.04,0.671024,1,1,0.3125,0.796172,0.620588,0.351741,0
0.31,0.67104,1,1,0.3125,0.794921,0.620588,0.351741,0
0.04,0.688344,0,0.587302,0.3125,0.130294,0.351731,0.620594,0
0.976667,0.55237,0,0.587302,0.3125,0.261886,0.351731,0.620594,0
0.04,0.671055,1,1,0.3125,0.796142,0.620588,0.351741,0
0.04,0.62038,0,0.587302,0.3125,0.198211,0.351731,0.620594,0
0.04,0.67107,1,1,0.3125,0.796126,0.620588,0.351741,0
0.04,0.805226,0,0.587302,0.3125,0.013492,0.351731,0.620594,0
0.143333,0.998244,1,1,1,0.218632,0.859271,0.000811,0
0.143333,0.609292,0,0.587302,1,0.95896,0.000795,0.859273,0
0.053333,0.026361,0,0.873016,0.3125,0.721433,0.714779,0.02635,0
0.053333,0.974617,0,0.84127,0.3125,0.781856,0.714779,0.000811,0
0.053333,0.99722,0,0.888889,0.3125,0.747547,0.714779,0.123568,0
0.053333,0.121541,0,0.777778,0.3125,0.649761,0.714779,0.001698,0
0.053333,0.814741,0,0.587302,0.3125,0.003922,0.714779,0.002065,0
0.053333,0.071782,0,0.761905,0.3125,0.703393,0.714779,0.050559,0
0.053333,0.55124,0,0.825397,0.3125,0.208635,0.714779,0.000352,0
