len,packet_id,flags,ttl,protocol,checksum,source_port,destination_port,test
60,23435,2,64,6,7122,41690,23000,0
48,54952,0,38,6,64192,23000,41690,0
40,23436,2,64,6,7141,41690,23000,0
121,23437,2,64,6,7059,41690,23000,0
40,54793,0,38,6,64359,23000,41690,0
321,38144,0,38,6,15192,23000,41690,0
40,34716,0,38,6,18901,23000,41690,0
40,23438,2,64,6,7139,41690,23000,0
40,23439,2,64,6,7138,41690,23000,0
40,55794,0,38,6,63358,23000,41690,0
63,5032,2,64,17,25511,48454,53,0
63,5033,2,64,17,25510,48454,53,0
63,9258,0,38,17,44325,53,48454,0
63,35037,0,38,17,18546,53,48454,0
60,6249,2,64,17,7923,43799,53,0
60,6250,2,64,17,7922,43799,53,0
60,14534,0,38,17,22678,53,43799,0
60,28343,0,38,17,8869,53,43799,0
28,28960,0,58,1,19554,8,0,0
44,43822,0,55,6,5439,50712,443,0
40,41261,0,38,6,12356,443,50712,0
40,63137,0,55,6,51663,50712,80,0
40,13896,0,38,6,39721,80,50712,0
40,37644,0,37,1,16234,13,0,0
71,6275,2,64,17,7886,34466,53,0
71,36120,0,38,17,1081,53,34466,0
44,46487,0,37,6,7382,50968,1720,0
44,26886,0,57,6,21863,50968,23,0
44,64735,0,54,6,50317,50968,1025,0
44,25321,0,55,6,23940,50968,110,0
44,19734,0,37,6,34135,50968,1723,0
44,14598,0,53,6,35175,50968,995,0
44,2116,0,49,6,48681,50968,554,0
44,24117,0,57,6,24632,50968,3389,0
44,62847,0,59,6,50925,50968,21,0
44,55816,0,50,6,60260,50968,80,0
40,29716,0,38,6,23901,110,50968,0
40,19432,0,38,6,34185,1025,50968,0
40,29236,0,38,6,24381,23,50968,0
40,40985,0,38,6,12632,1720,50968,0
40,31626,0,38,6,21991,80,50968,0
40,26499,0,38,6,27118,21,50968,0
40,6502,0,38,6,47115,3389,50968,0
40,26133,0,38,6,27484,554,50968,0
40,31887,0,38,6,21730,995,50968,0
40,15431,0,38,6,38186,1723,50968,0
66,6277,2,64,17,7889,53514,53,0
66,6278,2,64,17,7888,53514,53,0
66,61502,0,38,17,41239,53,53514,0
66,22768,0,38,17,14438,53,53514,0
44,34370,0,37,6,19499,50968,445,0
44,30244,0,48,6,20809,50968,135,0
44,6708,0,47,6,44601,50968,443,0
44,56873,0,41,6,61507,50968,8080,0
44,18858,0,58,6,29635,50968,5900,0
44,1491,0,42,6,51098,50968,53,0
44,55066,0,43,6,62802,50968,993,0
44,2160,0,55,6,47101,50968,8888,0
44,43188,0,50,6,7353,50968,22,0
44,54899,0,46,6,62201,50968,25,0
44,10738,0,47,6,40571,50968,113,0
44,21604,0,59,6,26633,50968,111,0
44,22831,0,40,6,30270,50968,587,0
44,21864,0,59,6,26373,50968,199,0
44,8626,0,42,6,43963,50968,139,0
44,53186,0,53,6,62122,50968,3306,0
44,26704,0,56,6,22301,50968,256,0
44,16946,0,55,6,32315,50968,143,0
44,20642,0,57,6,28107,50968,1080,0
44,48454,0,39,6,4903,50968,306,0
44,56733,0,44,6,60879,50968,3703,0
44,62211,0,54,6,52841,50968,1033,0
44,27348,0,43,6,24985,50968,1165,0
44,512,0,48,6,50541,50968,10010,0
44,6162,0,38,6,47451,50968,8654,0
44,64763,0,50,6,51313,50968,416,0
44,44736,0,57,6,4013,50968,1998,0
44,39921,0,49,6,10876,50968,7004,0
44,10629,0,46,6,40936,50968,593,0
44,5350,0,37,6,48519,50968,5915,0
40,57097,0,38,6,62055,5900,50968,0
44,53051,0,39,6,306,50968,2800,0
40,21987,0,38,6,31630,8080,50968,0
44,61393,0,54,6,53659,50968,32772,0
40,51435,0,38,6,2182,443,50968,0
40,40192,0,38,6,13425,135,50968,0
44,65054,0,46,6,52046,50968,666,0
