len,packet_id,flags,ttl,protocol,checksum,source_port,destination_port,test
0.106667,0.357617,1,1,0.3125,0.108421,0.637563,0.351741,1
0.066667,0.838565,0,0.587302,0.3125,0.979546,0.351731,0.637569,1
0.04,0.357632,1,1,0.3125,0.108711,0.637563,0.351741,1
0.31,0.357648,1,1,0.3125,0.10746,0.637563,0.351741,1
0.04,0.836139,0,0.587302,0.3125,0.982095,0.351731,0.637569,1
0.976667,0.582076,0,0.587302,0.3125,0.231603,0.351731,0.637569,1
0.04,0.529765,0,0.587302,0.3125,0.288218,0.351731,0.637569,1
0.04,0.357663,1,1,0.3125,0.108681,0.637563,0.351741,1
0.04,0.357678,1,1,0.3125,0.108665,0.637563,0.351741,1
0.04,0.851414,0,0.587302,0.3125,0.966816,0.351731,0.637569,1
0.116667,0.076788,1,1,1,0.389114,0.741008,0.000811,1
0.116667,0.076803,1,1,1,0.389098,0.741008,0.000811,1
0.116667,0.141277,0,0.587302,1,0.676293,0.000795,0.741011,1
0.116667,0.534663,0,0.587302,1,0.282799,0.000795,0.741011,1
0.106667,0.095359,1,1,1,0.120648,0.669817,0.000811,1
0.106667,0.095375,1,1,1,0.120633,0.669817,0.000811,1
0.106667,0.221788,0,0.587302,1,0.34587,0.000795,0.669822,1
0.106667,0.432513,0,0.587302,1,0.135088,0.000795,0.669822,1
0,0.441928,0,0.904762,0,0.298185,0.000107,0,1
0.053333,0.668722,0,0.857143,0.3125,0.082732,0.77554,0.006775,1
0.04,0.629641,0,0.587302,0.3125,0.188314,0.00676,0.775543,1
0.04,0.963468,0,0.857143,0.3125,0.788302,0.77554,0.001223,1
0.04,0.212052,0,0.587302,0.3125,0.606017,0.001208,0.775543,1
0.04,0.574446,0,0.571429,0,0.247508,0.000184,0,1
0.143333,0.095756,1,1,1,0.120083,0.527084,0.000811,1
0.143333,0.55119,0,0.587302,1,0.016211,0.000795,0.527092,1
0.053333,0.709389,0,0.571429,0.3125,0.11239,0.779455,0.026304,1
0.053333,0.410279,0,0.888889,0.3125,0.33343,0.779455,0.000352,1
0.053333,0.987853,0,0.84127,0.3125,0.767756,0.779455,0.015675,1
0.053333,0.386397,0,0.857143,0.3125,0.365134,0.779455,0.001682,1
0.053333,0.30114,0,0.571429,0.3125,0.520752,0.779455,0.02635,1
0.053333,0.222765,0,0.825397,0.3125,0.536626,0.779455,0.015217,1
0.053333,0.03229,0,0.761905,0.3125,0.742784,0.779455,0.008472,1
0.053333,0.368024,0,0.888889,0.3125,0.375696,0.779455,0.051828,1
0.053333,0.959042,0,0.920635,0.3125,0.777037,0.779455,0.000321,1
0.053333,0.85175,0,0.777778,0.3125,0.919527,0.779455,0.001223,1
0.04,0.453465,0,0.587302,0.3125,0.364538,0.001667,0.779458,1
0.04,0.296531,0,0.587302,0.3125,0.521515,0.01566,0.779458,1
0.04,0.44614,0,0.587302,0.3125,0.371865,0.000336,0.779458,1
0.04,0.625429,0,0.587302,0.3125,0.192527,0.026289,0.779458,1
0.04,0.482611,0,0.587302,0.3125,0.335384,0.001208,0.779458,1
0.04,0.404374,0,0.587302,0.3125,0.413643,0.000306,0.779458,1
