len,packet_id,flags,ttl,protocol,checksum,source_port,destination_port,test
0.141026,0.630476,0.007843,1,0.352941,0.835851,0.604358,0.351751,1
0.102564,0.313811,0,0.6,0.352941,0.504242,0.351751,0.604358,1
0.076923,0.630492,0.007843,1,0.352941,0.836141,0.604358,0.351751,1
0.336538,0.630507,0.007843,1,0.352941,0.83489,0.604358,0.351751,1
0.076923,0.628508,0,0.6,0.352941,0.189663,0.351751,0.604358,1
0.977564,0.401569,0,0.6,0.352941,0.412318,0.351751,0.604358,1
0.076923,0.576046,0,0.6,0.352941,0.242126,0.351751,0.604358,1
0.076923,0.630522,0.007843,1,0.352941,0.836111,0.604358,0.351751,1
0.076923,0.630537,0.007843,1,0.352941,0.836095,0.604358,0.351751,1
0.076923,0.862054,0,0.6,0.352941,0.956159,0.351751,0.604358,1
0.160256,0.926266,0.007843,1,1,0.539797,0.9308,0.000826,1
0.160256,0.926281,0.007843,1,1,0.539782,0.9308,0.000826,1
0.160256,0.549372,0,0.6,1,0.268235,0.000826,0.9308,1
0.160256,0.0685,0,0.6,1,0.749115,0.000826,0.9308,1
0.160256,0.928357,0.007843,1,1,0.537707,0.9308,0.000826,1
0.160256,0.928372,0.007843,1,1,0.537692,0.9308,0.000826,1
0.160256,0.893016,0,0.6,1,0.924632,0.000826,0.9308,1
0.160256,0.582577,0,0.6,1,0.23503,0.000826,0.9308,1
0.141026,0.706301,0.007843,1,0.352941,0.760026,0.604389,0.351751,1
0.102564,0.875635,0,0.6,0.352941,0.942456,0.351751,0.604389,1
0.076923,0.706316,0.007843,1,0.352941,0.760316,0.604389,0.351751,1
0.336538,0.706331,0.007843,1,0.352941,0.759064,0.604389,0.351751,1
0.076923,0.420674,0,0.6,0.352941,0.3975,0.351751,0.604389,1
0.977564,0.026719,0,0.6,0.352941,0.787173,0.351751,0.604389,1
0.076923,0.706346,0.007843,1,0.352941,0.760285,0.604389,0.351751,1
0.076923,0.938077,0,0.6,0.352941,0.880135,0.351751,0.604389,1
0.076923,0.706362,0.007843,1,0.352941,0.76027,0.604389,0.351751,1
0.076923,0.898372,0,0.6,0.352941,0.919841,0.351751,0.604389,1
0.141026,0.41193,0.007843,1,0.352941,0.054355,0.60442,0.351751,1
0.102564,0.662063,0,0.6,0.352941,0.155985,0.351751,0.60442,1
0.076923,0.411945,0.007843,1,0.352941,0.054645,0.60442,0.351751,1
0.336538,0.41196,0.007843,1,0.352941,0.053394,0.60442,0.351751,1
0.076923,0.692857,0,0.6,0.352941,0.125313,0.351751,0.60442,1
0.977564,0.111806,0,0.6,0.352941,0.702084,0.351751,0.60442,1
0.076923,0.411976,0.007843,1,0.352941,0.054615,0.60442,0.351751,1
0.076923,0.165901,0,0.6,0.352941,0.652277,0.351751,0.60442,1
0.076923,0.411991,0.007843,1,0.352941,0.054599,0.60442,0.351751,1
0.076923,0.020402,0,0.6,0.352941,0.797778,0.351751,0.60442,1
0.153846,0.941617,0.007843,1,1,0.524477,0.757088,0.000826,1
0.153846,0.941632,0.007843,1,1,0.524461,0.757088,0.000826,1
0.153846,0.080723,0,0.6,1,0.736922,0.000826,0.757088,1
0.153846,0.010941,0,0.6,1,0.806705,0.000826,0.757088,1
0.153846,0.942273,0.007843,1,1,0.52382,0.757088,0.000826,1
0.153846,0.942289,0.007843,1,1,0.523805,0.757088,0.000826,1
0.153846,0.092411,0,0.6,1,0.725233,0.000826,0.757088,1
0.153846,0.899379,0,0.6,1,0.918299,0.000826,0.757088,1
0.160256,0.071048,0.007843,1,1,0.14512,0.631503,0.000826,1
0.160256,0.071063,0.007843,1,1,0.145105,0.631503,0.000826,1
0.160256,0.178963,0,0.6,1,0.388787,0.000826,0.631503,1
0.160256,0.682847,0,0.6,1,0.884942,0.000826,0.631503,1
0.141026,0.165947,0.007843,1,0.352941,0.300342,0.60445,0.351751,1
0.102564,0.441716,0,0.6,0.352941,0.376335,0.351751,0.60445,1
0.076923,0.165962,0.007843,1,0.352941,0.300632,0.60445,0.351751,1
0.336538,0.165977,0.007843,1,0.352941,0.29938,0.60445,0.351751,1
0.076923,0.308501,0,0.6,0.352941,0.509675,0.351751,0.60445,1
0.977564,0.174187,0,0.6,0.352941,0.639703,0.351751,0.60445,1
0.076923,0.856546,0,0.6,0.352941,0.961668,0.351751,0.60445,1
0.076923,0.165993,0.007843,1,0.352941,0.300601,0.60445,0.351751,1
0.076923,0.166008,0.007843,1,0.352941,0.300586,0.60445,0.351751,1
0.076923,0.209192,0,0.6,0.352941,0.608985,0.351751,0.60445,1
0.169872,0.08173,0.007843,1,1,0.134392,0.63184,0.000826,1
0.169872,0.081745,0.007843,1,1,0.134377,0.63184,0.000826,1
0.169872,0.038866,0,0.6,1,0.528841,0.000826,0.63184,1
0.221154,0.456304,0,0.6,1,0.111152,0.000826,0.63184,1
0.192308,0.08176,0.007843,1,1,0.134255,0.787827,0.001896,1
0.192308,0.925885,0,0.6,1,0.641748,0.001896,0.787827,1
0.153846,0.956602,0.007843,1,1,0.509492,0.643753,0.000826,1
0.153846,0.956617,0.007843,1,1,0.509476,0.643753,0.000826,1
0.153846,0.272199,0,0.6,1,0.545443,0.000826,0.643753,1
0.153846,0.80242,0,0.6,1,0.015214,0.000826,0.643753,1
0.141026,0.983138,0.007843,1,0.352941,0.483184,0.604481,0.351751,1
0.102564,0.151435,0,0.6,0.352941,0.666621,0.351751,0.604481,1
0.076923,0.983154,0.007843,1,0.352941,0.483474,0.604481,0.351751,1
