len,packet_id,flags,ttl,protocol,checksum,source_port,destination_port,test
71,65370,2,64,17,30700,37667,53,1
71,59847,0,38,17,59263,53,37667,1
71,65371,2,64,17,30699,37667,53,1
71,7861,0,38,17,45714,53,37667,1
60,22805,2,64,6,7752,39556,23000,1
48,19098,0,38,6,34511,23000,39556,1
40,22806,2,64,6,7771,39556,23000,1
121,22807,2,64,6,7689,39556,23000,1
40,18051,0,38,6,35566,23000,39556,1
321,63091,0,38,6,55780,23000,39556,1
40,22808,2,64,6,7769,39556,23000,1
40,57698,0,38,6,61454,23000,39556,1
40,22809,2,64,6,7768,39556,23000,1
40,59597,0,38,6,59555,23000,39556,1
60,41890,2,64,6,54202,39558,23000,1
48,23734,0,38,6,29875,23000,39558,1
40,41891,2,64,6,54221,39558,23000,1
121,41892,2,64,6,54139,39558,23000,1
40,6069,0,38,6,47548,23000,39558,1
321,20429,0,38,6,32907,23000,39558,1
40,41893,2,64,6,54219,39558,23000,1
40,30191,0,38,6,23426,23000,39558,1
40,41894,2,64,6,54218,39558,23000,1
40,18031,0,38,6,35586,23000,39558,1
60,58881,2,64,6,37211,39560,23000,1
48,21629,0,38,6,31980,23000,39560,1
40,58882,2,64,6,37230,39560,23000,1
121,58883,2,64,6,37148,39560,23000,1
40,41400,0,38,6,12217,23000,39560,1
321,59992,0,38,6,58879,23000,39560,1
40,58884,2,64,6,37228,39560,23000,1
40,58885,2,64,6,37227,39560,23000,1
40,43989,0,38,6,9628,23000,39560,1
40,58886,2,64,6,37226,39560,23000,1
40,43042,0,38,6,10575,23000,39560,1
71,8296,2,64,17,5865,48094,53,1
71,8297,2,64,17,5864,48094,53,1
71,65420,2,64,17,30650,37667,53,1
71,1659,0,38,17,35542,53,48094,1
71,65421,2,64,17,30649,37667,53,1
71,59233,0,38,17,43503,53,48094,1
71,28302,0,38,17,25273,53,37667,1
71,32392,0,38,17,21183,53,37667,1
64,8308,2,64,17,5860,33216,53,1
64,8309,2,64,17,5859,33216,53,1
64,2708,0,38,17,34500,53,33216,1
64,18788,0,38,17,18420,53,33216,1
60,19655,2,64,6,10902,39562,23000,1
48,58333,0,38,6,60811,23000,39562,1
40,19656,2,64,6,10921,39562,23000,1
121,19657,2,64,6,10839,39562,23000,1
40,46393,0,38,6,7224,23000,39562,1
321,15118,0,38,6,38218,23000,39562,1
40,19658,2,64,6,10919,39562,23000,1
40,17153,0,38,6,36464,23000,39562,1
40,19659,2,64,6,10918,39562,23000,1
40,59179,0,38,6,59973,23000,39562,1
60,63077,2,64,6,33015,39564,23000,1
48,44118,0,38,6,9491,23000,39564,1
40,63078,2,64,6,33034,39564,23000,1
121,63079,2,64,6,32952,39564,23000,1
40,30813,0,38,6,22804,23000,39564,1
321,54969,0,38,6,63902,23000,39564,1
40,43797,0,38,6,9820,23000,39564,1
40,63080,2,64,6,33032,39564,23000,1
40,63081,2,64,6,33031,39564,23000,1
40,64229,0,38,6,54923,23000,39564,1
64,8666,2,64,17,5502,60167,53,1
64,8667,2,64,17,5501,60167,53,1
64,23338,0,38,17,13870,53,60167,1
225,40253,0,38,17,62329,53,60167,1
70,8668,2,64,17,5494,46186,53,1
70,3167,0,38,17,34035,53,46186,1
60,38130,2,64,6,57962,39566,23000,1
48,16835,0,38,6,36774,23000,39566,1
40,38131,2,64,6,57981,39566,23000,1
121,38132,2,64,6,57899,39566,23000,1
40,22731,0,38,6,30886,23000,39566,1
321,10967,0,38,6,42369,23000,39566,1
40,38133,2,64,6,57979,39566,23000,1
40,38134,2,64,6,57978,39566,23000,1
40,42793,0,38,6,10824,23000,39566,1
40,38135,2,64,6,57977,39566,23000,1
40,54930,0,38,6,64222,23000,39566,1
64,8780,2,64,17,5388,55905,53,1
64,8781,2,64,17,5387,55905,53,1
64,31373,0,38,17,5835,53,55905,1
64,59124,0,38,17,43619,53,55905,1
69,8847,2,64,17,5316,42678,53,1
69,8848,2,64,17,5315,42678,53,1
85,53545,0,38,17,49177,53,42678,1
69,36167,0,38,17,1036,53,42678,1
76,8849,2,64,17,5307,51987,123,1
76,10787,0,38,17,26409,123,51987,1
60,22011,2,64,6,8546,39568,23000,1
48,64646,0,38,6,54498,23000,39568,1
40,22012,2,64,6,8565,39568,23000,1
121,22013,2,64,6,8483,39568,23000,1
40,41130,0,38,6,12487,23000,39568,1
321,34118,0,38,6,19218,23000,39568,1
40,22014,2,64,6,8563,39568,23000,1
40,40443,0,38,6,13174,23000,39568,1
40,22015,2,64,6,8562,39568,23000,1
40,32653,0,38,6,20964,23000,39568,1
64,65529,2,64,17,30548,46845,53,1
64,65530,2,64,17,30547,46845,53,1
64,52496,0,38,17,1086,53,46845,1
64,971,0,38,17,52611,53,46845,1
60,8917,2,64,17,5255,42227,53,1
60,8918,2,64,17,5254,42227,53,1
60,41329,0,38,17,61418,53,42227,1
60,41588,0,38,17,61159,53,42227,1
64,8922,2,64,17,5246,40843,53,1
64,8923,2,64,17,5245,40843,53,1
64,57910,0,38,17,44833,53,40843,1
225,32441,0,38,17,4606,53,40843,1
70,8924,2,64,17,5238,53428,53,1
70,8850,0,38,17,28352,53,53428,1
64,27,2,64,17,30515,46845,53,1
64,28,2,64,17,30514,46845,53,1
64,12601,0,38,17,40981,53,46845,1
64,3934,0,38,17,49648,53,46845,1
60,41736,2,64,6,54356,39570,23000,1
48,30778,0,38,6,22831,23000,39570,1
40,41737,2,64,6,54375,39570,23000,1
121,41738,2,64,6,54293,39570,23000,1
40,39356,0,38,6,14261,23000,39570,1
321,45442,0,38,6,7894,23000,39570,1
40,41739,2,64,6,54373,39570,23000,1
40,10523,0,38,6,43094,23000,39570,1
40,41740,2,64,6,54372,39570,23000,1
40,34670,0,38,6,18947,23000,39570,1
60,11325,2,64,6,19232,39572,23000,1
48,57355,0,38,6,61789,23000,39572,1
40,11326,2,64,6,19251,39572,23000,1
121,11327,2,64,6,19169,39572,23000,1
40,12428,0,38,6,41189,23000,39572,1
321,37143,0,38,6,16193,23000,39572,1
40,11328,2,64,6,19249,39572,23000,1
40,29947,0,38,6,23670,23000,39572,1
40,11329,2,64,6,19248,39572,23000,1
40,639,0,38,6,52978,23000,39572,1
60,29276,2,64,6,1281,39574,23000,1
48,15158,0,38,6,38451,23000,39574,1
40,29277,2,64,6,1300,39574,23000,1
121,29278,2,64,6,1218,39574,23000,1
40,34354,0,38,6,19263,23000,39574,1
321,62310,0,38,6,56561,23000,39574,1
40,29279,2,64,6,1298,39574,23000,1
40,12706,0,38,6,40911,23000,39574,1
40,29280,2,64,6,1297,39574,23000,1
40,54883,0,38,6,64269,23000,39574,1
60,33481,2,64,6,62611,39576,23000,1
48,48841,0,38,6,4768,23000,39576,1
40,33482,2,64,6,62630,39576,23000,1
121,33483,2,64,6,62548,39576,23000,1
40,48275,0,38,6,5342,23000,39576,1
321,16313,0,38,6,37023,23000,39576,1
40,61053,0,38,6,58099,23000,39576,1
40,33484,2,64,6,62628,39576,23000,1
40,33485,2,64,6,62627,39576,23000,1
40,28760,0,38,6,24857,23000,39576,1
65,372,2,64,17,30169,37628,53,1
65,373,2,64,17,30168,37628,53,1
65,52613,0,38,17,968,53,37628,1
65,29433,0,38,17,24148,53,37628,1
63,9449,2,64,17,4720,42108,53,1
63,10276,0,38,17,26933,53,42108,1
63,9450,2,64,17,4719,42108,53,1
63,59310,0,38,17,43434,53,42108,1
71,9554,2,64,17,4607,47571,53,1
71,9555,2,64,17,4606,47571,53,1
71,61156,0,38,17,41580,53,47571,1
71,3761,0,38,17,33440,53,47571,1
65,9559,2,64,17,4608,33475,53,1
65,9560,2,64,17,4607,33475,53,1
65,54358,0,38,17,48384,53,33475,1
65,39029,0,38,17,63713,53,33475,1
65,421,2,64,17,30120,37628,53,1
65,422,2,64,17,30119,37628,53,1
65,47695,0,38,17,5886,53,37628,1
65,54450,0,38,17,64666,53,37628,1
63,9651,2,64,17,4518,56892,53,1
63,9652,2,64,17,4517,56892,53,1
63,37775,0,38,17,64969,53,56892,1
63,45681,0,38,17,57063,53,56892,1
60,33647,2,64,6,62445,39578,23000,1
48,12735,0,38,6,40874,23000,39578,1
40,33648,2,64,6,62464,39578,23000,1
121,33649,2,64,6,62382,39578,23000,1
40,64067,0,38,6,55085,23000,39578,1
321,41095,0,38,6,12241,23000,39578,1
40,33650,2,64,6,62462,39578,23000,1
40,42177,0,38,6,11440,23000,39578,1
40,33651,2,64,6,62461,39578,23000,1
40,4273,0,38,6,49344,23000,39578,1
60,27000,2,64,6,3557,39580,23000,1
48,21990,0,38,6,31619,23000,39580,1
40,27001,2,64,6,3576,39580,23000,1
121,27002,2,64,6,3494,39580,23000,1
40,5086,0,38,6,48531,23000,39580,1
321,21779,0,38,6,31557,23000,39580,1
40,27003,2,64,6,3574,39580,23000,1
40,30932,0,38,6,22685,23000,39580,1
40,27004,2,64,6,3573,39580,23000,1
40,26980,0,38,6,26637,23000,39580,1
60,32604,2,64,6,63488,39582,23000,1
48,18275,0,38,6,35334,23000,39582,1
40,32605,2,64,6,63507,39582,23000,1
121,32606,2,64,6,63425,39582,23000,1
40,9898,0,38,6,43719,23000,39582,1
321,51759,0,38,6,1577,23000,39582,1
40,32607,2,64,6,63505,39582,23000,1
40,16156,0,38,6,37461,23000,39582,1
40,32608,2,64,6,63504,39582,23000,1
40,23592,0,38,6,30025,23000,39582,1
64,9968,2,64,17,4200,53272,53,1
64,9969,2,64,17,4199,53272,53,1
64,44954,0,38,17,57789,53,53272,1
64,20772,0,38,17,16436,53,53272,1
60,14502,2,64,6,16055,39584,23000,1
48,50425,0,38,6,3184,23000,39584,1
40,14503,2,64,6,16074,39584,23000,1
121,14504,2,64,6,15992,39584,23000,1
40,59786,0,38,6,59366,23000,39584,1
321,61245,0,38,6,57626,23000,39584,1
40,14505,2,64,6,16072,39584,23000,1
40,55091,0,38,6,64061,23000,39584,1
40,14506,2,64,6,16071,39584,23000,1
40,47316,0,38,6,6301,23000,39584,1
60,60959,2,64,6,35133,39586,23000,1
48,29499,0,38,6,24110,23000,39586,1
40,60960,2,64,6,35152,39586,23000,1
121,60961,2,64,6,35070,39586,23000,1
40,9520,0,38,6,44097,23000,39586,1
321,11246,0,38,6,42090,23000,39586,1
40,14045,0,38,6,39572,23000,39586,1
40,60962,2,64,6,35150,39586,23000,1
40,60963,2,64,6,35149,39586,23000,1
40,64278,0,38,6,54874,23000,39586,1
60,9995,2,64,17,4177,37953,53,1
60,9996,2,64,17,4176,37953,53,1
60,18693,0,38,17,18519,53,37953,1
60,48607,0,38,17,54140,53,37953,1
60,10055,2,64,17,4117,59798,53,1
60,10056,2,64,17,4116,59798,53,1
60,42031,0,38,17,60716,53,59798,1
60,38289,0,38,17,64458,53,59798,1
61,10066,2,64,17,4105,57115,53,1
61,10067,2,64,17,4104,57115,53,1
61,49782,0,38,17,52964,53,57115,1
61,34177,0,38,17,3034,53,57115,1
60,63783,2,64,6,32309,39588,23000,1
48,63049,0,38,6,56095,23000,39588,1
40,63784,2,64,6,32328,39588,23000,1
121,63785,2,64,6,32246,39588,23000,1
40,8456,0,38,6,45161,23000,39588,1
321,13889,0,38,6,39447,23000,39588,1
40,63786,2,64,6,32326,39588,23000,1
40,13660,0,38,6,39957,23000,39588,1
40,63787,2,64,6,32325,39588,23000,1
40,24185,0,38,6,29432,23000,39588,1
65,10292,2,64,17,3875,59963,53,1
65,10293,2,64,17,3874,59963,53,1
65,38780,0,38,17,63962,53,59963,1
65,54888,0,38,17,47854,53,59963,1
60,36301,2,64,6,59791,39590,23000,1
48,54023,0,38,6,65121,23000,39590,1
40,36302,2,64,6,59810,39590,23000,1
121,36303,2,64,6,59728,39590,23000,1
40,41647,0,38,6,11970,23000,39590,1
321,45580,0,38,6,7756,23000,39590,1
40,6996,0,38,6,46621,23000,39590,1
40,36304,2,64,6,59808,39590,23000,1
40,36305,2,64,6,59807,39590,23000,1
40,59790,0,38,6,59362,23000,39590,1
60,9401,2,64,6,21156,39592,23000,1
